date,precipitation_mm,month,day_of_week,is_rainy
2025-01-01,1.1,1,2,True
2025-01-02,0.0,1,3,False
2025-01-03,0.0,1,4,False
2025-01-04,0.0,1,5,False
2025-01-05,0.0,1,6,False
2025-01-06,1.6,1,0,True
2025-01-07,0.0,1,1,False
2025-01-08,0.0,1,2,False
2025-01-09,0.0,1,3,False
2025-01-10,0.0,1,4,False
2025-01-11,1.9,1,5,True
2025-01-12,0.0,1,6,False
2025-01-13,0.0,1,0,False
2025-01-14,0.0,1,1,False
2025-01-15,0.0,1,2,False
2025-01-16,0.4,1,3,True
2025-01-17,0.0,1,4,False
2025-01-18,2.2,1,5,True
2025-01-19,8.4,1,6,True
2025-01-20,0.2,1,0,True
2025-01-21,0.3,1,1,True
2025-01-22,0.0,1,2,False
2025-01-23,0.0,1,3,False
2025-01-24,0.0,1,4,False
2025-01-25,0.0,1,5,False
2025-01-26,0.0,1,6,False
2025-01-27,0.0,1,0,False
2025-01-28,0.0,1,1,False
2025-01-29,0.0,1,2,False
2025-01-30,0.0,1,3,False
2025-01-31,9.0,1,4,True
2025-02-01,1.0,2,5,True
2025-02-02,2.2,2,6,True
2025-02-03,0.0,2,0,False
2025-02-04,0.0,2,1,False
2025-02-05,0.0,2,2,False
2025-02-06,9.7,2,3,True
2025-02-07,0.0,2,4,False
2025-02-08,8.5,2,5,True
2025-02-09,4.0,2,6,True
2025-02-10,0.0,2,0,False
2025-02-11,1.8,2,1,True
2025-02-12,4.0,2,2,True
2025-02-13,6.0,2,3,True
2025-02-14,0.0,2,4,False
2025-02-15,8.0,2,5,True
2025-02-16,19.6,2,6,True
2025-02-17,0.0,2,0,False
2025-02-18,0.0,2,1,False
2025-02-19,0.0,2,2,False
2025-02-20,0.9,2,3,True
2025-02-21,0.0,2,4,False
2025-02-22,0.0,2,5,False
2025-02-23,0.0,2,6,False
2025-02-24,0.0,2,0,False
2025-02-25,0.0,2,1,False
2025-02-26,0.2,2,2,True
2025-02-27,1.9,2,3,True
2025-02-28,0.0,2,4,False
2025-03-01,0.0,3,5,False
2025-03-02,0.0,3,6,False
2025-03-03,0.0,3,0,False
2025-03-04,0.0,3,1,False
2025-03-05,41.3,3,2,True
2025-03-06,0.2,3,3,True
2025-03-07,0.0,3,4,False
2025-03-08,0.0,3,5,False
2025-03-09,0.0,3,6,False
2025-03-10,0.0,3,0,False
2025-03-11,0.0,3,1,False
2025-03-12,0.0,3,2,False
2025-03-13,0.0,3,3,False
2025-03-14,0.0,3,4,False
2025-03-15,0.5,3,5,True
2025-03-16,0.9,3,6,True
2025-03-17,26.4,3,0,True
2025-03-18,0.0,3,1,False
2025-03-19,0.0,3,2,False
2025-03-20,15.0,3,3,True
2025-03-21,3.8,3,4,True
2025-03-22,0.1,3,5,True
2025-03-23,0.0,3,6,False
2025-03-24,13.0,3,0,True
2025-03-25,0.0,3,1,False
2025-03-26,0.1,3,2,True
2025-03-27,0.0,3,3,False
2025-03-28,0.4,3,4,True
2025-03-29,4.8,3,5,True
2025-03-30,0.4,3,6,True
2025-03-31,38.0,3,0,True
2025-04-01,4.5,4,1,True
2025-04-02,0.0,4,2,False
2025-04-03,2.9,4,3,True
2025-04-04,6.9,4,4,True
2025-04-05,3.3,4,5,True
2025-04-06,4.4,4,6,True
2025-04-07,8.1,4,0,True
2025-04-08,0.0,4,1,False
2025-04-09,0.0,4,2,False
2025-04-10,0.7,4,3,True
2025-04-11,13.1,4,4,True
2025-04-12,14.8,4,5,True
2025-04-13,0.0,4,6,False
2025-04-14,0.0,4,0,False
2025-04-15,2.1,4,1,True
2025-04-16,0.0,4,2,False
2025-04-17,0.0,4,3,False
2025-04-18,0.1,4,4,True
2025-04-19,0.5,4,5,True
2025-04-20,0.0,4,6,False
2025-04-21,0.3,4,0,True
2025-04-22,0.1,4,1,True
2025-04-23,0.0,4,2,False
2025-04-24,0.0,4,3,False
2025-04-25,0.0,4,4,False
2025-04-26,14.3,4,5,True
2025-04-27,0.0,4,6,False
2025-04-28,0.0,4,0,False
2025-04-29,0.0,4,1,False
2025-04-30,0.0,4,2,False
2025-05-01,0.0,5,3,False
2025-05-02,2.1,5,4,True
2025-05-03,11.5,5,5,True
2025-05-04,11.3,5,6,True
2025-05-05,12.9,5,0,True
2025-05-06,18.3,5,1,True
2025-05-07,0.2,5,2,True
2025-05-08,1.4,5,3,True
2025-05-09,16.1,5,4,True
2025-05-10,0.0,5,5,False
2025-05-11,0.0,5,6,False
2025-05-12,0.0,5,0,False
2025-05-13,4.7,5,1,True
2025-05-14,25.5,5,2,True
2025-05-15,1.2,5,3,True
2025-05-16,0.5,5,4,True
2025-05-17,1.9,5,5,True
2025-05-18,0.3,5,6,True
2025-05-19,0.0,5,0,False
2025-05-20,0.0,5,1,False
2025-05-21,2.9,5,2,True
2025-05-22,23.1,5,3,True
2025-05-23,1.8,5,4,True
2025-05-24,0.4,5,5,True
2025-05-25,0.0,5,6,False
2025-05-26,0.0,5,0,False
2025-05-27,0.0,5,1,False
2025-05-28,11.0,5,2,True
2025-05-29,1.9,5,3,True
2025-05-30,7.8,5,4,True
2025-05-31,21.5,5,5,True
2025-06-01,0.0,6,6,False
2025-06-02,0.0,6,0,False
2025-06-03,0.0,6,1,False
2025-06-04,0.0,6,2,False
2025-06-05,0.0,6,3,False
2025-06-06,0.6,6,4,True
2025-06-07,6.7,6,5,True
2025-06-08,1.8,6,6,True
2025-06-09,5.3,6,0,True
2025-06-10,21.6,6,1,True
2025-06-11,0.0,6,2,False
2025-06-12,0.1,6,3,True
2025-06-13,0.0,6,4,False
2025-06-14,4.7,6,5,True
2025-06-15,5.5,6,6,True
2025-06-16,6.8,6,0,True
2025-06-17,9.5,6,1,True
2025-06-18,9.3,6,2,True
2025-06-19,9.1,6,3,True
2025-06-20,0.3,6,4,True
2025-06-21,0.0,6,5,False
2025-06-22,0.2,6,6,True
2025-06-23,0.0,6,0,False
2025-06-24,0.0,6,1,False
2025-06-25,0.4,6,2,True
2025-06-26,0.0,6,3,False
2025-06-27,1.4,6,4,True
2025-06-28,0.5,6,5,True
2025-06-29,0.0,6,6,False
2025-06-30,0.4,6,0,True
2025-07-01,11.5,7,1,True
2025-07-02,1.7,7,2,True
2025-07-03,1.0,7,3,True
2025-07-04,0.0,7,4,False
2025-07-05,0.0,7,5,False
2025-07-06,0.0,7,6,False
2025-07-07,4.6,7,0,True
2025-07-08,13.8,7,1,True
2025-07-09,2.7,7,2,True
2025-07-10,13.4,7,3,True
2025-07-11,0.8,7,4,True
2025-07-12,0.1,7,5,True
2025-07-13,0.1,7,6,True
2025-07-14,23.1,7,0,True
2025-07-15,1.8,7,1,True
2025-07-16,1.9,7,2,True
2025-07-17,7.8,7,3,True
2025-07-18,0.0,7,4,False
2025-07-19,0.0,7,5,False
2025-07-20,1.1,7,6,True
2025-07-21,0.0,7,0,False
2025-07-22,0.0,7,1,False
2025-07-23,0.0,7,2,False
2025-07-24,0.0,7,3,False
2025-07-25,4.2,7,4,True
2025-07-26,0.0,7,5,False
2025-07-27,5.5,7,6,True
2025-07-28,0.0,7,0,False
2025-07-29,0.0,7,1,False
2025-07-30,2.6,7,2,True
2025-07-31,10.2,7,3,True
2025-08-01,1.4,8,4,True
2025-08-02,0.0,8,5,False
2025-08-03,0.0,8,6,False
2025-08-04,0.0,8,0,False
2025-08-05,0.2,8,1,True
2025-08-06,0.9,8,2,True
2025-08-07,0.3,8,3,True
2025-08-08,0.0,8,4,False
2025-08-09,0.0,8,5,False
2025-08-10,0.0,8,6,False
2025-08-11,0.0,8,0,False
2025-08-12,0.0,8,1,False
2025-08-13,5.8,8,2,True
2025-08-14,2.2,8,3,True
2025-08-15,0.0,8,4,False
2025-08-16,3.3,8,5,True
2025-08-17,3.5,8,6,True
2025-08-18,0.0,8,0,False
2025-08-19,0.0,8,1,False
2025-08-20,3.6,8,2,True
2025-08-21,0.1,8,3,True
2025-08-22,0.0,8,4,False
2025-08-23,0.0,8,5,False
2025-08-24,0.2,8,6,True
2025-08-25,0.0,8,0,False
2025-08-26,0.0,8,1,False
2025-08-27,0.1,8,2,True
2025-08-28,0.0,8,3,False
2025-08-29,0.0,8,4,False
2025-08-30,0.0,8,5,False
2025-08-31,0.0,8,6,False
2025-09-01,0.0,9,0,False
2025-09-02,0.0,9,1,False
2025-09-03,0.0,9,2,False
2025-09-04,5.6,9,3,True
2025-09-05,2.5,9,4,True
2025-09-06,23.7,9,5,True
2025-09-07,21.0,9,6,True
2025-09-08,0.0,9,0,False
2025-09-09,0.0,9,1,False
2025-09-10,3.2,9,2,True
2025-09-11,0.0,9,3,False
2025-09-12,0.0,9,4,False
2025-09-13,0.1,9,5,True
2025-09-14,0.0,9,6,False
2025-09-15,0.0,9,0,False
2025-09-16,0.0,9,1,False
2025-09-17,4.0,9,2,True
2025-09-18,0.1,9,3,True
2025-09-19,0.0,9,4,False
2025-09-20,0.0,9,5,False
2025-09-21,0.0,9,6,False
2025-09-22,0.0,9,0,False
2025-09-23,9.3,9,1,True
2025-09-24,4.8,9,2,True
2025-09-25,50.9,9,3,True
2025-09-26,0.0,9,4,False
2025-09-27,0.4,9,5,True
2025-09-28,0.7,9,6,True
2025-09-29,0.0,9,0,False
2025-09-30,0.0,9,1,False
2025-10-01,0.0,10,2,False
2025-10-02,0.0,10,3,False
2025-10-03,0.0,10,4,False
2025-10-04,0.0,10,5,False
2025-10-05,0.0,10,6,False
2025-10-06,0.0,10,0,False
2025-10-07,0.0,10,1,False
2025-10-08,6.9,10,2,True
2025-10-09,0.0,10,3,False
2025-10-10,0.0,10,4,False
2025-10-11,1.2,10,5,True
2025-10-12,16.0,10,6,True
2025-10-13,30.8,10,0,True
2025-10-14,0.4,10,1,True
2025-10-15,0.0,10,2,False
2025-10-16,0.0,10,3,False
2025-10-17,0.0,10,4,False
2025-10-18,0.0,10,5,False
2025-10-19,0.0,10,6,False
2025-10-20,7.0,10,0,True
2025-10-21,1.0,10,1,True
2025-10-22,2.2,10,2,True
2025-10-23,0.0,10,3,False
2025-10-24,0.0,10,4,False
2025-10-25,0.0,10,5,False
2025-10-26,0.0,10,6,False
2025-10-27,0.0,10,0,False
2025-10-28,0.0,10,1,False
2025-10-29,0.0,10,2,False
2025-10-30,42.2,10,3,True
2025-10-31,0.0,10,4,False
2025-11-01,0.0,11,5,False
2025-11-02,0.0,11,6,False
2025-11-03,0.0,11,0,False
2025-11-04,0.0,11,1,False
2025-11-05,1.0,11,2,True
2025-11-06,0.0,11,3,False
2025-11-07,0.0,11,4,False
2025-11-08,6.2,11,5,True
2025-11-09,0.3,11,6,True
2025-11-10,13.1,11,0,True
2025-11-11,0.6,11,1,True
2025-11-12,0.1,11,2,True
2025-11-13,0.2,11,3,True
2025-11-14,0.0,11,4,False
2025-11-15,4.4,11,5,True
2025-11-16,0.1,11,6,True
2025-11-17,0.1,11,0,True
2025-11-18,0.0,11,1,False
2025-11-19,3.6,11,2,True
2025-11-20,0.0,11,3,False
2025-11-21,0.0,11,4,False
2025-11-22,5.7,11,5,True
2025-11-23,0.0,11,6,False
2025-11-24,0.0,11,0,False
2025-11-25,13.1,11,1,True
2025-11-26,1.5,11,2,True
2025-11-27,0.0,11,3,False
2025-11-28,0.0,11,4,False
2025-11-29,0.0,11,5,False
2025-11-30,2.8,11,6,True
2025-12-01,0.0,12,0,False
2025-12-02,17.1,12,1,True
2025-12-03,0.0,12,2,False
2025-12-04,0.1,12,3,True
2025-12-05,0.0,12,4,False
2025-12-06,0.3,12,5,True
2025-12-07,0.0,12,6,False
2025-12-08,0.0,12,0,False
2025-12-09,0.0,12,1,False
2025-12-10,3.0,12,2,True
2025-12-11,0.0,12,3,False
2025-12-12,0.0,12,4,False
2025-12-13,0.9,12,5,True
2025-12-14,10.8,12,6,True
2025-12-15,0.0,12,0,False
2025-12-16,0.0,12,1,False
2025-12-17,0.0,12,2,False
2025-12-18,0.0,12,3,False
2025-12-19,25.4,12,4,True
2025-12-20,0.0,12,5,False
2025-12-21,0.0,12,6,False
2025-12-22,0.0,12,0,False
2025-12-23,3.4,12,1,True
2025-12-24,0.0,12,2,False
2025-12-25,0.0,12,3,False
2025-12-26,7.5,12,4,True
2025-12-27,4.5,12,5,True
2025-12-28,0.9,12,6,True
2025-12-29,3.8,12,0,True
2025-12-30,0.0,12,1,False
2025-12-31,0.0,12,2,False
