date,trip_count
2024-12-31,20
2025-01-01,88628
2025-01-02,83294
2025-01-03,89596
2025-01-04,96584
2025-01-05,78353
2025-01-06,78680
2025-01-07,98678
2025-01-08,111290
2025-01-09,116330
2025-01-10,108675
2025-01-11,120522
2025-01-12,101104
2025-01-13,98140
2025-01-14,118474
2025-01-15,122358
2025-01-16,133376
2025-01-17,116848
2025-01-18,118316
2025-01-19,116864
2025-01-20,88726
2025-01-21,114310
2025-01-22,123694
2025-01-23,133577
2025-01-24,125245
2025-01-25,135339
2025-01-26,100831
2025-01-27,91085
2025-01-28,111212
2025-01-29,117685
2025-01-30,128911
2025-01-31,127888
2025-02-01,1
2025-01-31,30
2025-02-01,147148
2025-02-02,122136
2025-02-03,96360
2025-02-04,117163
2025-02-05,124883
2025-02-06,123034
2025-02-07,133151
2025-02-08,144518
2025-02-09,121886
2025-02-10,105726
2025-02-11,122271
2025-02-12,125047
2025-02-13,137939
2025-02-14,151053
2025-02-15,146971
2025-02-16,112278
2025-02-17,93219
2025-02-18,114131
2025-02-19,120329
2025-02-20,137568
2025-02-21,129573
2025-02-22,140192
2025-02-23,107421
2025-02-24,94901
2025-02-25,112781
2025-02-26,125542
2025-02-27,139481
2025-02-28,143369
2025-03-01,1
2007-12-05,1
2009-01-01,1
2025-02-28,29
2025-03-01,162446
2025-03-02,127137
2025-03-03,108136
2025-03-04,122063
2025-03-05,140753
2025-03-06,141673
2025-03-07,132643
2025-03-08,145994
2025-03-09,115723
2025-03-10,102782
2025-03-11,122978
2025-03-12,135560
2025-03-13,152076
2025-03-14,140537
2025-03-15,151073
2025-03-16,117267
2025-03-17,109754
2025-03-18,122125
2025-03-19,125245
2025-03-20,149079
2025-03-21,130679
2025-03-22,140383
2025-03-23,119270
2025-03-24,108036
2025-03-25,117342
2025-03-26,128534
2025-03-27,139126
2025-03-28,132484
2025-03-29,161113
2025-03-30,134935
2025-03-31,112110
2025-04-01,2
2025-03-31,4
2025-04-01,126093
2025-04-02,133985
2025-04-03,134993
2025-04-04,131635
2025-04-05,151332
2025-04-06,121129
2025-04-07,113217
2025-04-08,128527
2025-04-09,134610
2025-04-10,143312
2025-04-11,149422
2025-04-12,147601
2025-04-13,108061
2025-04-14,97382
2025-04-15,119433
2025-04-16,130913
2025-04-17,131763
2025-04-18,122176
2025-04-19,132206
2025-04-20,113653
2025-04-21,105152
2025-04-22,121916
2025-04-23,132651
2025-04-24,144183
2025-04-25,143153
2025-04-26,156174
2025-04-27,139381
2025-04-28,107355
2025-04-29,123429
2025-04-30,136399
2025-05-01,3
2025-04-30,20
2025-05-01,152097
2025-05-02,142079
2025-05-03,161685
2025-05-04,140483
2025-05-05,131108
2025-05-06,140263
2025-05-07,144588
2025-05-08,159531
2025-05-09,156303
2025-05-10,157219
2025-05-11,145276
2025-05-12,124838
2025-05-13,146693
2025-05-14,156390
2025-05-15,162385
2025-05-16,157027
2025-05-17,176462
2025-05-18,141289
2025-05-19,131804
2025-05-20,147254
2025-05-21,159843
2025-05-22,157366
2025-05-23,131661
2025-05-24,118801
2025-05-25,112254
2025-05-26,97084
2025-05-27,121095
2025-05-28,150802
2025-05-29,144557
2025-05-30,142360
2025-05-31,151284
2025-06-01,3
2025-05-31,20
2025-06-01,129724
2025-06-02,111276
2025-06-03,136866
2025-06-04,152957
2025-06-05,170305
2025-06-06,155851
2025-06-07,161313
2025-06-08,137479
2025-06-09,124694
2025-06-10,137287
2025-06-11,147152
2025-06-12,160797
2025-06-13,141163
2025-06-14,144232
2025-06-15,123120
2025-06-16,116591
2025-06-17,132435
2025-06-18,151367
2025-06-19,138347
2025-06-20,134798
2025-06-21,154792
2025-06-22,133513
2025-06-23,136089
2025-06-24,150749
2025-06-25,151836
2025-06-26,147141
2025-06-27,133569
2025-06-28,140529
2025-06-29,127605
2025-06-30,108988
2009-01-01,1
2025-06-30,6
2025-07-01,126544
2025-07-02,108625
2025-07-03,100995
2025-07-04,86717
2025-07-05,93187
2025-07-06,94284
2025-07-07,99663
2025-07-08,127782
2025-07-09,132077
2025-07-10,125118
2025-07-11,119802
2025-07-12,134147
2025-07-13,116971
2025-07-14,129504
2025-07-15,129386
2025-07-16,139495
2025-07-17,142425
2025-07-18,123554
2025-07-19,134878
2025-07-20,121934
2025-07-21,107854
2025-07-22,119375
2025-07-23,126379
2025-07-24,129949
2025-07-25,131195
2025-07-26,138535
2025-07-27,116839
2025-07-28,117104
2025-07-29,133905
2025-07-30,137085
2025-07-31,134921
2009-01-01,1
2025-07-31,14
2025-08-01,118337
2025-08-02,126538
2025-08-03,109020
2025-08-04,101734
2025-08-05,113873
2025-08-06,123081
2025-08-07,117693
2025-08-08,111307
2025-08-09,113083
2025-08-10,100851
2025-08-11,96563
2025-08-12,111076
2025-08-13,128314
2025-08-14,119149
2025-08-15,113745
2025-08-16,119407
2025-08-17,113191
2025-08-18,92269
2025-08-19,104097
2025-08-20,127229
2025-08-21,111504
2025-08-22,109973
2025-08-23,124812
2025-08-24,110241
2025-08-25,95887
2025-08-26,104372
2025-08-27,109907
2025-08-28,112343
2025-08-29,109274
2025-08-30,115118
2025-08-31,109454
2025-09-01,1
2025-08-31,6
2025-09-01,96168
2025-09-02,114981
2025-09-03,127884
2025-09-04,145791
2025-09-05,141504
2025-09-06,145653
2025-09-07,126426
2025-09-08,120551
2025-09-09,136356
2025-09-10,147287
2025-09-11,149640
2025-09-12,154213
2025-09-13,163867
2025-09-14,142898
2025-09-15,125230
2025-09-16,139260
2025-09-17,145494
2025-09-18,155572
2025-09-19,148813
2025-09-20,155354
2025-09-21,135201
2025-09-22,115629
2025-09-23,112867
2025-09-24,131262
2025-09-25,147464
2025-09-26,149256
2025-09-27,161316
2025-09-28,135676
2025-09-29,120346
2025-09-30,135693
2025-10-01,1
2025-09-30,10
2025-10-01,130830
2025-10-02,127890
2025-10-03,137330
2025-10-04,145216
2025-10-05,124442
2025-10-06,116819
2025-10-07,130728
2025-10-08,144699
2025-10-09,156686
2025-10-10,150604
2025-10-11,151967
2025-10-12,127607
2025-10-13,110184
2025-10-14,134969
2025-10-15,142054
2025-10-16,155684
2025-10-17,147225
2025-10-18,149732
2025-10-19,135952
2025-10-20,114731
2025-10-21,133431
2025-10-22,142986
2025-10-23,155195
2025-10-24,149443
2025-10-25,154125
2025-10-26,124203
2025-10-27,119778
2025-10-28,132839
2025-10-29,140680
2025-10-30,158052
2025-10-31,163973
2025-11-01,3
2008-12-31,1
2009-01-01,2
2025-10-31,21
2025-11-01,180242
2025-11-02,148856
2025-11-03,125982
2025-11-04,129649
2025-11-05,138537
2025-11-06,153985
2025-11-07,143683
2025-11-08,151265
2025-11-09,130909
2025-11-10,128751
2025-11-11,129282
2025-11-12,138555
2025-11-13,152108
2025-11-14,150634
2025-11-15,160296
2025-11-16,134101
2025-11-17,126149
2025-11-18,139160
2025-11-19,148416
2025-11-20,154834
2025-11-21,147917
2025-11-22,151908
2025-11-23,124482
2025-11-24,117186
2025-11-25,139101
2025-11-26,118732
2025-11-27,95458
2025-11-28,98315
2025-11-29,112450
2025-11-30,109188
